Radial dIstance 	mu
0.65	14.598
0.72	14.614
0.79	14.638
0.87	14.665
0.96	14.695
1.05	14.737
1.16	14.791
1.27	14.851
1.4	14.915
1.54	14.979
1.69	15.047
1.86	15.105
2.05	15.165
2.25	15.224
2.48	15.297
2.73	15.374
3	15.434
3.3	15.491
3.63	15.542
3.99	15.595
4.39	15.642
4.83	15.685
5.31	15.722
5.85	15.757
6.43	15.798
7.07	15.844
7.78	15.88
8.56	15.912
9.42	15.929
10.36	15.952
11.39	15.983
12.53	16.001
13.78	16.03
15.16	16.05
16.68	16.062
18.35	16.075
20.18	16.1
22.2	16.135
24.42	16.166
26.86	16.202
29.55	16.223
32.5	16.234
35.75	16.266
39.33	16.31
43.26	16.388
47.59	16.52
52.35	16.681
57.58	16.895
63.34	17.099
69.68	17.32
76.64	17.694
84.31	18.193
92.74	18.559
102.01	19.018
112.21	19.456
123.43	19.79
135.78	20.221
149.36	20.551
164.29	20.899
180.72	21.182
198.79	21.374
218.67	21.563
240.54	22.071
264.59	22.592
291.05	22.818
320.16	22.959
