Radial Distance	B
0.0315	1270.57410520854
0.013	1148.15362149688
0.046	1037.52841581801
0.05575	937.56200692588
0.0675	839.459986519396
0.08175	765.596606911257
0.099	704.693068967147
0.1195	648.634433548239
0.1315	625.172692775685
0.14475	591.561634175474
0.15925	549.540873857625
0.17525	519.995996533516
0.19275	501.187233627272
0.212	487.528490103386
0.233	469.894108605215
0.2565	457.088189614874
0.282	444.631267469109
0.31025	440.554863506553
0.34125	432.513831035009
0.3755	420.726628384444
0.413	416.869383470335
0.455	416.869383470335
0.5	424.619563946313
0.55	405.508535448384
0.605	398.107170553497
0.665	413.047501990161
0.7325	413.047501990161
0.805	394.457302075278
0.885	394.457302075278
0.975	380.189396320561
1.07	363.078054770101
1.1775	337.287308658869
1.295	288.40315031266
1.425	272.897778280804
1.5675	222.843514927031
1.725	170.608238900312
1.8975	134.276496113786
2.0875	101.859138805412
2.295	85.5066712884682
2.525	68.5488226452661
2.7775	47.8630092322638
3.055	33.4195040026114
3.3625	20.7014134879104
3.6975	12.0226443461741
