Radial Distance	SB_disk	SB_disk_mu
0.76	834.73	19.6961349444417
1.52	563.29	20.123169896647
2.28	225.6	21.1166522617217
3.04	66.48	22.4432724730599
3.79	28.63	23.357946629946
4.55	14.64	24.0861473081941
5.31	8.92	24.6240878640597
6.07	6.87	24.9076081573511
6.83	5.31	25.1872636972963
7.59	2.98	25.8144593398094
8.35	1.95	26.2749134715937
9.11	1.74	26.3986268792935
9.86	1.53	26.538271422956
10.64	0.83	27.2023047690598
11.38	0.58	27.5914300160927
12.12	0.42	27.9418767740052
12.86	0.3	28.3071968632008
13.7	0.2	28.74742501084
14.44	0.14	29.1346799108044
15.18	0.1	29.5
15.91	0.07	29.8872548999644
16.65	0.05	30.25257498916
17.49	0.03	30.8071968632008
18.23	0.02	31.24742501084
18.97	0.02	31.24742501084
19.71	0.01	32
20.45	0.01	32
21.29	0.01	32
